customer_id,signup_date,archetype,region,age
C00081,2024-02-09 03:03:40,occasional,South,54
C00082,2025-03-19 18:36:15,dormant,West,65
C00083,2024-06-12 08:21:56,occasional,Central,62
C00084,2026-03-11 04:55:04,occasional,East,53
C00085,2024-08-01 01:41:20,dormant,South,46
C00086,2024-07-24 06:18:29,occasional,West,69
C00087,2024-08-12 10:46:17,regular,West,30
C00088,2025-08-01 07:25:51,regular,South,36
C00089,2025-05-29 02:37:30,loyal,West,55
C00090,2026-05-03 22:57:45,loyal,North,19
C00091,2025-01-09 15:16:05,occasional,North,44
C00092,2024-09-11 01:12:29,at_risk,North,62
C00093,2024-02-14 07:53:20,at_risk,North,27
C00094,2024-01-07 08:50:22,loyal,Central,59
C00095,2024-12-02 06:03:55,occasional,South,39
C00096,2026-04-13 05:39:19,regular,South,62
C00097,2025-04-16 09:03:48,dormant,South,51
C00098,2026-03-15 04:37:41,regular,South,26
C00099,2024-04-01 12:06:47,occasional,South,56
C00100,2024-03-24 23:44:01,regular,North,20
C00101,2026-01-20 02:42:16,occasional,West,30
C00102,2024-02-16 18:22:34,occasional,North,64
C00103,2024-12-29 16:24:07,at_risk,West,63
C00104,2026-04-12 08:35:02,regular,North,20
C00105,2025-09-12 10:40:50,dormant,West,37
C00106,2024-03-30 04:50:37,occasional,West,22
C00107,2026-01-23 10:01:49,at_risk,North,32
C00108,2026-01-29 05:13:07,new,North,68
C00109,2025-12-21 15:02:41,dormant,Central,28
C00110,2026-03-23 09:18:27,regular,East,51
C00111,2024-08-03 21:21:54,regular,East,59
C00112,2026-05-31 14:43:35,regular,North,63
C00113,2024-10-15 15:02:24,regular,South,36
C00114,2025-12-22 19:45:31,occasional,East,54
C00115,2025-06-05 10:16:27,dormant,Central,43
C00116,2025-12-02 12:42:52,dormant,South,23
C00117,2025-07-19 00:53:57,occasional,West,29
C00118,2025-08-01 05:38:18,occasional,West,56
C00119,2025-07-08 15:44:10,new,North,53
C00120,2025-12-02 02:19:15,dormant,South,45
C00121,2025-10-27 03:19:39,regular,South,58
C00122,2024-05-01 02:19:39,occasional,South,53
C00123,2026-01-13 10:47:06,new,East,35
C00124,2025-04-27 11:04:09,regular,South,33
C00125,2024-10-17 18:36:06,occasional,South,67
C00126,2025-04-07 19:12:49,dormant,West,68
C00127,2026-05-20 06:50:33,dormant,East,19
C00128,2026-02-10 19:33:29,dormant,East,59
C00129,2026-01-20 07:53:15,new,East,24
C00130,2025-02-20 12:27:58,regular,South,62
C00131,2025-12-06 17:22:37,regular,West,48
C00132,2024-12-12 13:55:58,occasional,South,53
C00133,2025-09-09 13:10:27,occasional,South,54
C00134,2025-07-29 14:33:59,occasional,North,49
C00135,2024-08-12 19:39:07,occasional,East,31
C00136,2024-08-27 19:36:27,occasional,East,59
C00137,2024-02-25 00:28:33,at_risk,South,46
C00138,2024-05-05 18:59:51,regular,Central,46
C00139,2025-01-25 06:09:45,regular,Central,34
C00140,2025-03-06 02:08:56,regular,North,18
C00141,2024-05-28 14:36:27,regular,West,46
C00142,2025-01-10 04:48:36,new,South,35
C00143,2025-06-27 18:14:03,occasional,Central,52
C00144,2024-07-28 07:30:38,regular,South,36
C00145,2024-10-31 09:55:01,at_risk,South,68
C00146,2024-11-26 18:15:17,occasional,South,53
C00147,2025-03-30 13:09:49,loyal,South,41
C00148,2024-11-25 18:04:36,regular,West,54
C00149,2025-10-25 06:00:12,regular,East,51
C00150,2024-10-21 17:54:14,at_risk,South,50
C00151,2025-01-25 12:10:11,regular,East,48
C00152,2024-12-07 12:25:26,loyal,Central,66
C00153,2024-06-13 14:58:52,loyal,West,34
C00154,2025-09-09 04:03:21,occasional,East,40
C00155,2024-07-30 21:38:13,loyal,South,31
C00156,2024-09-24 04:31:54,new,North,47
C00157,2025-12-14 11:26:31,regular,Central,69
C00158,2026-05-03 23:19:51,occasional,West,49
C00159,2025-08-26 18:12:43,occasional,East,28
C00160,2026-04-04 17:07:01,occasional,Central,65
C00161,2026-02-07 18:31:02,loyal,North,59
C00162,2025-03-08 19:39:54,new,West,40
C00163,2025-11-24 06:16:03,new,North,25
C00164,2024-10-22 12:36:06,loyal,North,38
C00165,2025-02-18 10:44:10,regular,East,59
C00166,2025-04-26 21:23:28,dormant,South,48
C00167,2026-05-14 10:38:56,occasional,Central,27
C00168,2026-02-02 16:54:22,regular,South,26
C00169,2025-03-16 07:51:50,regular,West,68
C00170,2025-08-10 07:53:10,at_risk,West,41
C00171,2024-07-01 02:54:01,at_risk,West,53
C00172,2025-12-24 22:51:47,occasional,Central,36
C00173,2025-05-12 17:37:11,dormant,South,22
C00174,2025-04-24 10:48:03,occasional,South,39
C00175,2025-11-20 15:43:26,regular,North,54
C00176,2025-07-23 15:01:14,occasional,South,35
C00177,2024-03-06 05:17:20,regular,Central,49
C00178,2024-09-16 08:09:40,regular,East,40
C00179,2024-06-08 01:07:46,loyal,South,35
C00180,2025-10-23 09:41:31,regular,North,31
C00181,2024-02-01 15:10:44,at_risk,East,31
C00182,2024-07-01 03:56:20,loyal,West,31
C00183,2025-06-21 16:48:45,occasional,South,55
C00184,2025-09-17 07:38:21,occasional,West,35
C00185,2025-03-28 23:23:08,occasional,East,56
C00186,2026-02-13 15:31:53,new,West,34
C00187,2026-04-07 01:06:20,new,South,35
C00188,2024-04-28 21:25:16,at_risk,East,66
C00189,2026-05-07 06:14:21,loyal,North,63
C00190,2025-07-06 22:36:07,occasional,South,38
C00191,2025-07-26 14:20:00,occasional,West,31
C00192,2024-03-26 14:04:05,regular,East,55
C00193,2025-07-13 16:25:56,loyal,North,21
C00194,2025-10-15 03:27:26,regular,Central,41
C00195,2025-06-06 17:05:17,occasional,North,49
C00196,2024-03-17 01:03:12,occasional,East,53
C00197,2025-04-15 21:42:46,regular,Central,23
C00198,2026-04-22 08:17:59,new,East,18
C00199,2025-10-13 01:47:47,dormant,West,32
C00200,2024-05-03 16:00:40,regular,East,24
C00201,2026-05-13 22:40:17,dormant,West,44
C00202,2026-05-12 23:48:46,loyal,West,65
C00203,2024-06-01 10:56:36,dormant,West,32
C00204,2025-12-21 19:05:52,dormant,South,41
C00205,2025-01-01 01:05:21,loyal,West,29
C00206,2025-06-18 07:31:52,at_risk,South,20
C00207,2025-02-04 16:01:27,dormant,Central,54
C00208,2025-12-05 08:40:49,dormant,South,31
C00209,2026-06-15 23:51:09,dormant,South,46
C00210,2025-12-16 14:28:49,occasional,Central,53
C00211,2026-04-18 05:37:21,loyal,South,61
C00212,2026-05-01 10:11:03,new,South,27
C00213,2024-03-22 02:16:38,occasional,West,48
C00214,2024-08-16 01:04:49,occasional,North,65
C00215,2025-10-11 16:06:06,occasional,North,43
C00216,2025-06-15 01:38:21,occasional,East,20
C00217,2024-02-15 03:09:26,regular,South,31
C00218,2024-03-26 13:03:45,at_risk,South,59
C00219,2025-04-13 11:49:24,loyal,North,59
C00220,2025-07-08 13:10:44,at_risk,South,34
C00221,2024-05-30 22:44:15,new,South,28
C00222,2024-06-03 03:53:31,occasional,North,33
C00223,2024-04-26 09:44:55,occasional,East,30
C00224,2025-05-23 10:55:58,regular,East,56
C00225,2024-01-08 01:38:19,dormant,North,61
C00226,2025-05-30 04:29:56,at_risk,South,20
C00227,2025-03-04 08:03:32,regular,Central,56
C00228,2025-02-23 09:16:45,regular,East,57
C00229,2025-09-03 08:22:01,regular,South,49
C00230,2025-04-15 08:50:46,occasional,East,63
C00231,2025-10-16 23:22:22,dormant,North,20
C00232,2025-11-18 12:44:42,at_risk,West,54
C00233,2026-04-08 02:32:35,regular,Central,24
C00234,2025-12-20 07:41:08,new,Central,64
C00235,2025-04-10 22:27:12,regular,South,43
C00236,2025-03-18 22:30:33,new,South,22
C00237,2024-07-31 03:18:19,regular,North,56
C00238,2025-06-23 15:13:05,occasional,South,56
C00239,2024-05-05 05:19:31,dormant,South,42
C00240,2026-04-18 02:42:08,regular,East,34
C00241,2026-01-30 12:57:20,at_risk,North,18
C00242,2024-04-17 18:14:43,dormant,Central,65
C00243,2025-12-08 08:38:48,regular,North,27
C00244,2024-04-15 09:26:13,loyal,North,61
C00245,2025-10-11 02:27:49,at_risk,Central,48
C00246,2024-03-19 22:30:52,regular,West,53
C00247,2025-03-15 08:58:39,loyal,South,54
C00248,2025-08-15 01:50:48,occasional,East,62
C00249,2025-10-17 22:18:50,at_risk,South,19
C00250,2025-01-11 17:56:21,regular,North,69
C00251,2026-04-09 11:03:59,regular,East,20
C00252,2025-11-27 21:20:32,new,South,69
C00253,2024-07-06 10:31:07,occasional,East,31
C00254,2025-08-27 02:35:54,new,North,61
C00255,2025-10-19 11:32:48,occasional,West,22
C00256,2024-10-27 06:34:31,dormant,West,41
C00257,2025-10-26 09:47:46,at_risk,North,46
C00258,2026-03-19 12:43:01,loyal,North,67
C00259,2026-01-05 09:40:05,new,South,24
C00260,2025-11-17 06:41:38,occasional,West,19
C00261,2025-07-25 01:08:40,regular,West,51
C00262,2024-08-31 11:33:16,regular,West,20
C00263,2025-12-16 16:48:55,at_risk,South,58
C00264,2024-11-23 18:32:50,loyal,South,19
C00265,2025-04-23 23:27:04,regular,East,68
C00266,2024-10-09 23:54:12,regular,North,45
C00267,2024-10-08 17:10:07,occasional,West,67
C00268,2024-05-21 20:24:41,occasional,North,24
C00269,2026-05-15 04:01:46,occasional,South,32
C00270,2024-05-13 00:07:14,regular,East,41
C00271,2024-03-18 15:11:25,loyal,East,19
C00272,2026-04-22 12:21:10,occasional,East,23
C00273,2025-05-14 12:17:03,regular,South,35
C00274,2025-01-29 02:43:37,at_risk,Central,56
C00275,2025-10-25 17:48:46,loyal,West,54
C00276,2024-12-10 23:42:29,loyal,Central,22
C00277,2024-04-25 03:06:24,regular,East,21
C00278,2025-10-18 17:12:39,occasional,East,52
C00279,2024-06-07 09:35:20,regular,East,36
C00280,2025-05-12 16:39:00,new,South,59
C00281,2026-05-04 03:49:41,regular,South,33
C00282,2026-04-22 12:37:24,occasional,East,36
C00283,2024-11-20 16:54:44,occasional,North,29
C00284,2025-12-03 06:30:43,loyal,North,31
C00285,2025-07-05 09:47:49,occasional,Central,54
C00286,2025-03-07 10:22:56,regular,North,42
C00287,2024-05-05 22:26:50,occasional,East,52
C00288,2024-12-04 17:21:52,loyal,East,22
C00289,2025-08-09 17:25:49,new,North,45
C00290,2026-06-06 23:14:27,dormant,Central,41
C00291,2024-01-05 09:38:11,loyal,North,65
C00292,2025-10-07 23:37:15,occasional,Central,40
C00293,2026-01-31 16:52:33,at_risk,West,23
C00294,2026-05-06 01:48:15,regular,South,54
C00295,2025-01-16 10:09:34,new,North,25
C00296,2024-04-16 15:08:14,occasional,South,65
C00297,2024-08-31 20:53:27,dormant,South,37
C00298,2026-02-04 11:31:38,dormant,South,58
C00299,2026-03-01 03:23:38,loyal,Central,52
C00300,2025-07-27 08:47:44,occasional,South,42
C00301,2024-04-20 11:11:40,occasional,West,48
C00302,2024-04-19 17:30:29,regular,North,27
C00303,2025-03-06 08:31:03,regular,Central,21
C00304,2025-06-13 10:22:21,dormant,South,57
C00305,2024-01-30 03:22:41,loyal,South,67
C00306,2025-09-09 11:40:52,occasional,East,62
C00307,2025-05-05 01:24:58,new,North,33
C00308,2024-01-12 01:44:16,regular,West,36
C00309,2024-03-27 02:38:05,occasional,South,36
C00310,2025-02-12 21:16:04,dormant,East,54
C00311,2025-10-12 07:50:42,occasional,East,50
C00312,2026-01-12 20:37:45,regular,East,59
C00313,2025-01-23 04:06:51,loyal,North,67
C00314,2024-09-22 19:45:17,dormant,North,38
C00315,2026-05-21 11:30:11,regular,North,52
C00316,2025-02-16 16:38:18,occasional,South,44
C00317,2024-10-10 20:25:04,loyal,North,67
C00318,2025-02-02 01:59:06,occasional,Central,36
C00319,2024-01-11 21:10:46,dormant,East,27
C00320,2024-09-28 17:37:53,occasional,East,37
C00321,2025-04-08 23:58:34,dormant,South,50
C00322,2026-04-06 14:20:40,regular,South,67
C00323,2025-10-26 09:40:58,occasional,East,61
C00324,2025-12-04 03:57:03,new,South,18
C00325,2025-05-05 09:52:35,occasional,South,44
C00326,2024-04-09 12:42:34,regular,South,26
C00327,2024-12-17 20:00:42,new,East,36
C00328,2026-06-16 07:56:53,regular,Central,67
C00329,2024-02-09 18:05:37,occasional,South,69
C00330,2026-03-02 06:43:13,dormant,East,25
C00331,2025-09-08 01:06:22,regular,North,25
C00332,2024-09-12 12:25:19,regular,South,54
C00333,2025-12-01 04:33:18,loyal,West,39
C00334,2026-01-23 04:57:57,regular,North,40
C00335,2024-02-08 21:31:56,regular,East,63
C00336,2024-04-05 18:39:42,at_risk,South,65
C00337,2025-08-22 04:11:29,regular,North,64
C00338,2026-06-18 04:39:42,at_risk,Central,58
C00339,2024-01-22 13:40:37,regular,South,68
C00340,2025-08-22 02:47:24,regular,West,55
C00341,2024-05-02 20:55:49,regular,South,64
C00342,2025-08-08 02:42:00,at_risk,Central,46
C00343,2025-07-14 23:36:03,occasional,South,20
C00344,2024-03-22 09:31:10,regular,South,60
C00345,2025-09-04 15:43:36,new,West,66
C00346,2026-03-18 07:55:16,occasional,South,34
C00347,2026-02-16 02:22:58,regular,South,40
C00348,2024-01-27 02:23:21,dormant,Central,47
C00349,2024-08-09 07:47:50,regular,East,51
C00350,2024-08-04 17:53:09,loyal,West,53
C00351,2025-02-11 23:06:51,occasional,West,38
C00352,2024-05-08 17:16:20,regular,West,62
C00353,2026-02-07 21:53:14,regular,Central,60
C00354,2025-11-30 02:11:14,at_risk,East,66
C00355,2025-12-28 12:21:16,regular,South,47
C00356,2024-06-27 09:12:40,new,North,22
C00357,2024-01-14 02:46:04,dormant,East,61
C00358,2026-03-30 13:47:07,occasional,West,22
C00359,2024-09-17 00:25:17,at_risk,South,28
C00360,2025-08-13 15:24:39,at_risk,North,32
C00361,2026-03-29 11:49:43,dormant,South,27
C00362,2024-02-02 13:06:52,regular,East,55
C00363,2024-01-05 22:13:29,regular,West,40
C00364,2024-01-05 21:17:03,occasional,North,29
C00365,2024-05-20 16:38:09,occasional,East,18
C00366,2024-02-16 11:48:39,regular,West,29
C00367,2026-01-07 23:35:10,occasional,Central,54
C00368,2025-06-29 07:59:01,loyal,North,59
C00369,2026-06-01 01:00:34,dormant,Central,33
C00370,2025-12-22 08:00:24,regular,East,21
C00371,2026-05-16 20:51:30,loyal,West,46
C00372,2024-08-02 16:44:27,loyal,North,58
C00373,2024-09-16 00:28:16,regular,East,21
C00374,2026-02-03 11:13:50,regular,East,59
C00375,2024-08-08 09:28:05,loyal,South,26
C00376,2024-02-21 12:12:35,regular,South,31
C00377,2025-08-25 05:12:37,regular,East,50
C00378,2025-12-21 20:49:08,regular,East,20
C00379,2026-05-21 09:02:16,regular,North,33
C00380,2026-04-15 00:22:51,regular,South,25
C00381,2024-04-18 04:58:49,regular,North,29
C00382,2025-11-25 21:32:28,loyal,Central,58
C00383,2026-01-31 12:21:45,loyal,Central,29
C00384,2025-09-20 07:24:31,regular,South,20
C00385,2026-01-07 19:40:24,at_risk,North,29
C00386,2026-01-24 04:22:20,dormant,North,22
C00387,2025-02-05 21:29:02,dormant,East,50
C00388,2024-02-06 03:16:05,occasional,Central,68
C00389,2025-02-14 13:47:53,occasional,East,26
C00390,2024-06-30 14:29:36,regular,North,55
C00391,2024-04-12 08:33:18,new,North,36
C00392,2024-04-22 10:21:05,at_risk,South,21
C00393,2025-09-19 15:16:40,new,Central,53
C00394,2025-03-30 01:52:09,new,East,28
C00395,2025-04-30 20:30:56,occasional,East,44
C00396,2025-11-01 16:03:48,at_risk,South,44
C00397,2025-05-08 10:35:01,new,Central,49
C00398,2025-07-21 00:15:20,regular,South,25
C00399,2024-03-18 10:07:43,dormant,West,31
C00400,2026-02-05 00:25:53,loyal,Central,56
C00401,2025-02-07 21:39:52,dormant,East,66
C00402,2024-05-19 16:36:02,new,Central,18
C00403,2026-01-01 23:53:41,loyal,South,39
C00404,2025-10-23 03:48:55,at_risk,West,63
C00405,2024-02-17 17:21:36,loyal,North,32
C00406,2024-06-22 17:41:46,new,East,41
C00407,2024-01-15 04:11:16,new,North,65
C00408,2024-08-31 16:23:20,occasional,North,68
C00409,2024-03-30 23:34:33,new,North,52
C00410,2025-09-30 21:56:28,loyal,South,54
C00411,2025-04-15 07:08:50,regular,East,49
C00412,2026-06-01 04:25:23,occasional,South,32
C00413,2025-11-05 11:33:34,loyal,South,64
C00414,2025-07-04 09:20:30,occasional,Central,19
C00415,2025-04-03 09:10:05,regular,Central,21
C00416,2024-02-19 01:12:24,regular,North,49
C00417,2024-03-04 04:20:47,occasional,South,61
C00418,2025-07-08 16:16:24,new,West,60
C00419,2024-01-04 22:35:24,regular,West,53
C00420,2024-02-08 02:46:18,new,South,37
C00421,2024-07-16 05:19:54,occasional,West,36
C00422,2026-03-06 17:32:49,regular,North,40
C00423,2025-02-17 00:53:26,occasional,South,31
C00424,2025-09-30 14:53:26,occasional,West,39
C00425,2025-01-05 09:44:40,regular,East,23
C00426,2024-06-04 19:33:41,occasional,West,34
C00427,2024-11-30 00:58:50,regular,North,66
C00428,2024-03-23 13:10:25,regular,North,54
C00429,2025-11-24 05:28:03,occasional,North,25
C00430,2024-06-14 04:19:03,occasional,North,32
C00431,2024-12-04 17:44:21,new,North,31
C00432,2026-06-01 00:35:12,regular,East,32
C00433,2025-06-16 18:24:21,dormant,East,53
C00434,2025-02-16 16:54:35,new,West,64
C00435,2025-05-03 17:04:32,dormant,South,54
C00436,2025-12-06 16:08:53,new,North,43
C00437,2024-08-17 00:48:22,regular,West,26
C00438,2025-07-26 18:25:12,occasional,North,25
C00439,2026-02-24 10:08:11,regular,Central,60
C00440,2025-05-30 04:07:25,new,North,53
C00441,2025-02-05 21:15:53,occasional,East,44
C00442,2024-05-10 14:48:48,regular,Central,48
C00443,2024-08-11 11:03:12,dormant,East,62
C00444,2026-05-01 10:07:40,loyal,East,60
C00445,2025-05-02 03:12:53,occasional,West,22
C00446,2024-09-28 05:00:02,at_risk,North,38
C00447,2025-01-11 12:45:21,loyal,West,20
C00448,2025-06-04 05:10:18,occasional,Central,38
C00449,2025-04-28 19:01:05,new,Central,51
C00450,2025-09-21 19:09:36,loyal,South,28
C00451,2024-08-19 17:50:27,occasional,South,25
C00452,2025-08-07 07:26:09,regular,West,43
C00453,2025-02-02 09:49:37,at_risk,East,45
C00454,2026-04-26 12:50:20,loyal,South,55
C00455,2024-05-22 03:07:55,dormant,North,18
C00456,2024-05-13 14:16:55,new,North,30
C00457,2025-02-19 11:49:21,regular,South,58
C00458,2025-04-02 12:25:08,regular,North,53
C00459,2025-09-13 18:54:14,occasional,North,64
C00460,2024-12-29 15:08:33,at_risk,North,60
C00461,2026-04-02 08:15:46,occasional,Central,61
C00462,2025-03-02 18:02:39,regular,North,44
C00463,2024-04-26 09:39:58,loyal,North,67
C00464,2024-04-17 07:05:54,dormant,South,39
C00465,2026-05-26 01:33:57,occasional,South,64
C00466,2024-04-30 16:26:36,new,Central,38
C00467,2026-05-03 01:35:07,occasional,Central,41
C00468,2024-09-07 06:25:54,dormant,South,53
C00469,2024-03-25 01:38:21,loyal,South,38
C00470,2024-10-01 05:37:09,loyal,South,25
C00471,2025-07-07 05:28:38,dormant,North,64
C00472,2025-01-20 02:42:33,dormant,South,41
C00473,2025-12-08 00:32:10,regular,North,66
C00474,2025-07-03 21:19:51,regular,North,38
C00475,2024-12-26 16:56:00,occasional,East,68
C00476,2025-07-25 03:59:19,occasional,North,49
C00477,2026-05-24 07:35:32,regular,North,57
C00478,2025-01-05 15:06:54,new,East,57
C00479,2024-05-18 02:23:01,regular,South,28
C00480,2025-01-02 21:42:54,at_risk,North,60
C00481,2026-01-26 02:28:56,loyal,North,67
C00482,2026-05-04 05:28:54,loyal,North,52
C00483,2025-06-13 11:24:53,at_risk,South,67
C00484,2025-06-25 09:59:01,regular,West,61
C00485,2024-10-12 08:05:00,at_risk,Central,52
C00486,2026-04-08 09:52:22,loyal,South,42
C00487,2024-02-02 10:53:32,dormant,South,62
C00488,2024-09-25 19:18:01,at_risk,West,27
C00489,2025-01-11 13:26:27,new,East,47
C00490,2025-03-05 13:08:56,regular,North,60
C00491,2025-03-02 17:15:56,regular,North,67
C00492,2024-05-13 03:10:04,regular,South,31
C00493,2024-07-22 00:48:21,occasional,East,22
C00494,2024-03-26 17:13:46,regular,North,35
C00495,2025-05-30 05:05:28,loyal,South,62
C00496,2024-11-11 18:45:50,regular,South,45
C00497,2025-05-24 04:40:22,regular,South,20
C00498,2025-06-14 17:49:47,regular,East,24
C00499,2025-09-23 19:14:48,regular,West,35
C00500,2025-05-07 07:58:03,regular,East,35
C00501,2025-08-06 03:41:13,occasional,North,25
C00502,2025-06-12 10:26:31,regular,North,43
C00503,2025-08-10 04:33:13,regular,West,42
C00504,2025-07-08 23:30:30,occasional,East,28
C00505,2024-10-11 14:13:32,new,North,30
C00506,2024-08-09 15:44:37,regular,South,52
C00507,2025-12-09 16:32:08,occasional,West,67
C00508,2024-11-04 10:21:44,dormant,West,69
C00509,2025-05-09 05:31:06,occasional,Central,47
C00510,2024-06-26 06:37:06,dormant,East,20
C00511,2025-01-23 06:37:58,new,South,64
C00512,2025-04-21 16:44:07,loyal,South,67
C00513,2025-07-17 09:52:09,occasional,North,32
C00514,2025-04-18 17:44:08,at_risk,West,38
C00515,2024-11-20 14:11:53,dormant,East,19
C00516,2026-05-15 14:15:35,occasional,North,59
C00517,2025-04-06 11:10:03,loyal,Central,58
C00518,2025-12-28 11:17:18,occasional,South,19
C00519,2025-10-25 00:50:33,regular,North,54
C00520,2025-05-17 11:39:04,at_risk,South,39
C00521,2026-03-08 18:18:07,occasional,Central,46
C00522,2024-04-25 10:35:12,at_risk,Central,29
C00523,2026-04-08 22:50:06,new,East,60
C00524,2026-02-04 04:52:55,occasional,Central,39
C00525,2025-03-29 06:28:15,occasional,Central,61
C00526,2025-10-22 01:15:57,at_risk,West,25
C00527,2025-04-13 05:56:32,new,Central,48
C00528,2024-08-29 21:18:45,new,South,34
C00529,2025-12-20 21:12:02,loyal,West,68
C00530,2024-08-09 07:54:43,occasional,East,46
C00531,2024-10-10 00:08:05,regular,West,55
C00532,2025-04-12 08:41:54,new,North,22
C00533,2026-01-23 15:27:31,occasional,West,53
C00534,2024-12-11 12:48:12,occasional,Central,23
C00535,2025-03-20 17:27:33,regular,South,36
C00536,2024-02-07 11:58:15,regular,Central,29
C00537,2024-04-14 06:30:18,at_risk,South,18
C00538,2024-02-20 08:27:43,regular,North,48
C00539,2024-03-05 20:28:39,loyal,North,30
C00540,2026-02-20 16:02:35,new,West,44
C00541,2026-01-27 19:03:11,at_risk,East,57
C00542,2026-01-09 16:44:38,regular,South,27
C00543,2024-02-20 00:16:01,regular,East,54
C00544,2024-03-10 21:07:47,dormant,South,33
C00545,2024-09-09 13:12:24,at_risk,South,35
C00546,2025-05-23 18:22:26,occasional,Central,48
C00547,2024-10-27 17:12:31,regular,West,50
C00548,2025-03-14 19:17:52,regular,West,52
C00549,2024-06-04 16:40:47,loyal,East,28
C00550,2025-10-19 16:48:17,at_risk,Central,48
C00551,2024-10-09 12:05:48,loyal,South,31
C00552,2024-02-29 21:16:54,loyal,South,32
C00553,2025-10-30 10:09:33,at_risk,North,67
C00554,2026-03-23 12:13:44,dormant,East,23
C00555,2024-01-14 05:08:57,at_risk,East,39
C00556,2025-01-28 00:08:15,occasional,West,40
C00557,2026-01-14 10:56:44,occasional,South,30
C00558,2025-09-27 13:09:35,occasional,North,58
C00559,2026-02-09 21:26:13,regular,East,43
C00560,2025-01-08 16:32:11,occasional,Central,55
C00561,2024-12-01 00:50:59,occasional,South,38
C00562,2025-09-30 06:12:00,occasional,North,64
C00563,2024-05-18 06:02:18,new,South,55
C00564,2024-08-03 11:30:01,dormant,South,35
